borough_new,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
BarkingandDagenham,0.0029792268020819523,0.03983446978587744,0.011895117088010438,0.0469693303818084,0.024036769485006496,0.041788087520846236,0.03441466385187122,0.03527586522922329,0.04814100688356752,0.02680955042552169,0.01534342465628128,0.02758483642633308,0.049305933803498216,0.03216079929989244,0.04373192383007251,0.007054232810209011,0.04414507962742203,0.04736449555062875,0.03521693681677806,0.04757526457018887,0.045826574699036365,0.04075282071372876,0.02713845991483579,0.04589018493289378,0.011718980914944575,0.008799972630179224,0.0485395091952541,0.03399097177870892,0.0416728966120622,0.024227405793618446,0.018975378047079758,0.0475672476373875,0.044450418402109886
Barnet,0.040870364478877104,0.006929565091441157,0.0460501953012089,0.015820691249065613,0.04771007798924605,0.020532079340461494,0.03564947178906552,0.04797086459007336,0.024652316578645653,0.017271915719875075,0.047052730135769286,0.030338825252951677,0.030173240776866547,0.01770630629079199,0.016480716764104095,0.03905759197931443,0.02581330881900546,0.031983791118519164,0.025334419603623846,0.030573728982797744,0.04049017200867464,0.04444844077175413,0.04778050582786091,0.043934919762676765,0.041010079804204846,0.035205037500287625,0.03554915452202283,0.04442890676506748,0.045979859168506644,0.039452242005649424,0.028488712819522824,0.04077853130728155,0.029405139884510215
Bexley,0.014592549742541224,0.05642878006407733,0.004579570653661857,0.06214994276304622,0.01782998981326199,0.05762237344588457,0.046207315753020936,0.03403210996982334,0.06110991969415485,0.044441576812445385,0.012238700303573994,0.04307894036755551,0.061958086050387565,0.04994714360189054,0.05825159217475136,0.016423360615984515,0.0558456413754317,0.05872258366495518,0.051709548243855534,0.060121688314609345,0.051742393346886434,0.045458441526251996,0.024832563224630948,0.050302594740390116,0.022005776988360384,0.024145162384177823,0.058063965006500615,0.03750735265184803,0.04328012711912595,0.034434113002378884,0.03595286382098489,0.05455711579868598,0.057942612288585785
Brent,0.04497113150153562,0.014926754132182241,0.04661589253361462,0.005969796221999934,0.04565609925299273,0.01991589856706214,0.0349810700165613,0.04188982007985019,0.01250458586970805,0.028173550938668045,0.04744979634222098,0.03530484422881753,0.01818101047247836,0.026633969149554057,0.01186359657563586,0.04275315768533481,0.018190432746353687,0.02054985182508983,0.027899686943562093,0.020638190028882855,0.03006214702235763,0.03798126945411589,0.04551052593163638,0.033628459952699086,0.04489126941814843,0.04189096396266563,0.023519620174592273,0.04066869867226831,0.03736478919582071,0.041262421240713464,0.03676326948632538,0.03009631592000897,0.022812945844485778
Bromley,0.031274498263663145,0.058769560289330475,0.019233160520032416,0.06066746954885724,0.008255506470891507,0.057728115860704816,0.046434562911634614,0.01828720770243799,0.05766088973281376,0.05283447132492042,0.020604786968637587,0.04879155043409384,0.05608048858689143,0.05593942707656565,0.05798053027826254,0.03164214139667786,0.05317219299865747,0.05207080346723839,0.054056009068152,0.0552828500174824,0.040303735328347155,0.03460819450190529,0.019153665525481953,0.03669262336798614,0.03379593437768465,0.038796039732260174,0.04893301840887036,0.0329219435641441,0.028140272191179982,0.03900239107795298,0.047127424087035664,0.04309146142071116,0.05456300847458128
Camden,0.028225638832136933,0.014096333888632654,0.030334406281052675,0.014750161599601326,0.03070497896430857,0.004450763980590194,0.013033480412416408,0.029772773076160542,0.020633360510666818,0.01853805513749938,0.02860603432925858,0.014794504108885522,0.014795128037733371,0.012274288894559605,0.019601485999541438,0.02848784457015671,0.023981341016240724,0.024194169592337476,0.008144102258803222,0.012263115936052862,0.02706768148660368,0.021339077562489296,0.02646278124631082,0.025636513931819017,0.02488847023985459,0.025256228753571093,0.02430400403009639,0.020778451189321916,0.028846116418045093,0.019303426573183007,0.019950889275186578,0.02080025781135223,0.008562222069723567
CityofLondon,0.004846850904573345,0.004880377118241114,0.005147926622156244,0.0052652580718549466,0.005347279964539998,0.002753425513828467,0.00028910560594539955,0.005473982353803478,0.005807872698699444,0.004703084668012099,0.004359350986096186,0.002100520000748419,0.004329302551569412,0.0033883084230515734,0.005973615479517633,0.005324280800968617,0.006411769331327623,0.006151530625244952,0.001827850008302273,0.003516470134654134,0.006142467161189352,0.0032344045783497984,0.003724947073282007,0.00531537627557258,0.0036542167687353888,0.0045801306000651555,0.006044186558015864,0.002307782594906802,0.005737503034832512,0.0019090092961209855,0.003915486822197227,0.004393219182302009,0.002451816166466483
Croydon,0.045359324662869606,0.05986529051484479,0.034474399234720315,0.05654965892553418,0.01828044441891794,0.057129874527543666,0.048480259541045734,0.007713501206791026,0.051548595075154524,0.05910439311551355,0.03429899777754052,0.05507020623033115,0.0474729603690584,0.0603135337427731,0.05584544700764337,0.044525166241889964,0.04853806244039512,0.044010916089301716,0.05666560019583465,0.04823764140683342,0.028642230642498812,0.02736337719793907,0.02548079876638812,0.023157453951517467,0.04640687713909245,0.05118489524988283,0.038192108978660363,0.03346766811830743,0.014814485773628705,0.04641246878363271,0.056595392414005165,0.032363012706792774,0.05090819839466162
Ealing,0.056613847109700015,0.028552577349674334,0.05624528926503263,0.015065687078170872,0.05344956992358364,0.036095156585128386,0.04861991324943015,0.04591047150950986,0.0062230231583774165,0.042385509897556156,0.05847635481425892,0.05207921801384618,0.022747992227729084,0.0437906745736655,0.015303976106933152,0.053181340748226134,0.013083798900477181,0.012234353337768539,0.04481618677729164,0.02886025064221359,0.026508298333197587,0.04613104743411219,0.056510501473551474,0.034264186018880524,0.05883265057323305,0.05581240833834912,0.017404300179909318,0.05218743284241666,0.03814420974564192,0.055530086134534265,0.052904969146837566,0.033758227083567,0.0350045834245274
Enfield,0.029420590739434142,0.01954762492431411,0.038702062306593996,0.03348984721163951,0.04594320514813728,0.030058924932802315,0.03645953412797828,0.051306654016188176,0.0409765472150398,0.005705233752163181,0.03981620920849959,0.023862096463913192,0.04539962512141492,0.014063598321119548,0.03148754318523119,0.029133529705058104,0.038531610794381846,0.046424898274731785,0.026511024923468345,0.04412365761058602,0.05110631526106326,0.050097347694342986,0.045887122664228806,0.05350567607384275,0.031057251483150146,0.021962843046188386,0.049235435309089144,0.045684701024668484,0.052890996143272646,0.03402355464301015,0.014823596600505647,0.05170760527691814,0.03995120935436728
Greenwich,0.012812753730454403,0.03724570763685663,0.008354566863258613,0.04106254897641549,0.01365496914385951,0.035188602015078264,0.02523942701606301,0.022601711760425903,0.041169263657098595,0.029868826018790394,0.00461135339225756,0.024338891062219654,0.03921781973808289,0.031152985711355927,0.040006182945575085,0.0161601446388249,0.03919435416970585,0.040144641570776296,0.03036460702799778,0.03706504470106482,0.035299043704121034,0.025929940451447406,0.011469975197190901,0.03255334031484922,0.010967070061406976,0.016912369342409778,0.039055450150509895,0.01908623423264659,0.028997772179158957,0.01694423981832684,0.022553225319924087,0.033734952447601795,0.03483166412268199
Hackney,0.021203590552300824,0.021367651400592123,0.02563389722171623,0.027029564601923305,0.028929554892270316,0.01531771918625362,0.011193427705241668,0.03215173605705759,0.03224202254074036,0.0165557057067853,0.022404877426217704,0.003884359782278855,0.027474320988608133,0.010343592027666146,0.02896637458340625,0.023090940924885946,0.03293855221571303,0.03394870486689149,0.00820260065887198,0.024600296303162537,0.03523682503158822,0.02516801772010837,0.022891900849619944,0.033244307534929615,0.015065011836656896,0.01691736494022843,0.03452039417983187,0.019689468379309055,0.03409827522292137,0.010330789003479517,0.010959489709731686,0.030011221323357887,0.019292786040593278
HammersmithandFulham,0.03037886168916302,0.01902015551642049,0.0294992222856077,0.01248668383173419,0.0273355919805075,0.014590001893112358,0.01884923691584642,0.02216677711266974,0.012348019026413146,0.025413686400221607,0.028606632706749468,0.023698326014382123,0.0034903969017362276,0.022534418301738218,0.017754972740701536,0.030109587425828623,0.01770330014346757,0.013901090946152881,0.01935700808582885,0.005612766163369323,0.01539477126266472,0.01587579240018654,0.025546951145649435,0.01380883952644023,0.029078674404921397,0.029863835141638817,0.012277982444970382,0.02044707037952183,0.018547186655880562,0.024867188942178757,0.027693429302673517,0.008899757406678976,0.010349409198291075
Haringey,0.02612973167713582,0.014728269101924884,0.031871905640229105,0.023281627479515666,0.03544013892585632,0.014350549364715394,0.01994970341589665,0.03811827706021998,0.030335782550067598,0.010707653789695524,0.03061812138360947,0.011847496269195176,0.028855221066339427,0.0042837948271570335,0.024578882743687688,0.026723421809934193,0.030578513322970506,0.0345896841512717,0.011173531903902427,0.02663752254023732,0.037736758133720565,0.03281421478337559,0.03209873285936004,0.037728440283225924,0.023072595399955622,0.02023830212648975,0.03554779731840516,0.029306798653984063,0.038899206619793056,0.020971238275358833,0.012120269365259754,0.034350624492183776,0.022213279659056052
Harrow,0.05513553588921707,0.018553707404378762,0.05708476814185163,0.014576193760630364,0.05601877715647063,0.03620190182580046,0.05299049587454918,0.05263647302991988,0.01434121345735577,0.03386985382519193,0.06057683077226342,0.050476568782190895,0.03367705072621459,0.03755710291361845,0.004402279570561505,0.05066029058173742,0.012966705389127104,0.022543633206674133,0.04441457276143496,0.038257345726175625,0.03674652346769886,0.054732978184311276,0.060433713101271685,0.04540333830443346,0.0583355201913754,0.05124007389851609,0.029400463285446665,0.05803906190532083,0.04709609747061545,0.057715449533104146,0.04714272310276066,0.045106876391146584,0.041118178413269334
Havering,0.009558565520245319,0.049918985109725984,0.017710590986584698,0.059636482148209415,0.03197756372468188,0.05663458998183659,0.0502261079715588,0.04605371256775753,0.060338728253858775,0.03326520394729124,0.026380326510661675,0.041258539881599235,0.06464434392170042,0.0433206224882937,0.05336313107600481,0.003970048821850529,0.053284744343572304,0.05867744116710074,0.04989902276172746,0.06379946441874304,0.057509135762898164,0.05675549104653439,0.04043836206323782,0.05986012939832785,0.023936197150546987,0.01575127130395397,0.06090363415219282,0.049956778122050606,0.05336756311478493,0.03864037699967608,0.028314056426130475,0.06310143476019489,0.06073058168801129
Hillingdon,0.06723327798647351,0.036235456971156585,0.06677217985817892,0.028018030543227445,0.06365085175983323,0.05466983128792144,0.06886108328071233,0.05702341656279084,0.01708280228432897,0.05031854051490981,0.07220005708521261,0.06922704864143649,0.04247139587118495,0.05693031331065395,0.01591124961975652,0.06112277706186825,0.005558726879119324,0.017398640363932485,0.06328728159284844,0.04941483419677464,0.03470178831526018,0.06496390366492696,0.07242289299857467,0.04849476005959524,0.07348800634971497,0.06630498033853804,0.027059925729027913,0.07139496411031483,0.048857960374265354,0.07371285818278074,0.06499181060490629,0.05186578854940568,0.05583403621171134
Hounslow,0.05268670677412812,0.03421362908984664,0.05076952003132673,0.02302379035024682,0.045566546992077586,0.04012406515738405,0.04813956587883323,0.03726121309839715,0.012302587773912594,0.04492717371025623,0.05318199625740524,0.05162027364181822,0.02304436692775969,0.047190333130335535,0.02128519471221436,0.049215865715340874,0.01351931597569009,0.005792158048524429,0.04691931675668671,0.02941300757706393,0.017300007910764244,0.04048934700339328,0.050805508731054855,0.026826643840901134,0.05570687078569436,0.05302494044641873,0.010119948857374267,0.048408839616732764,0.02914263510547707,0.05371653274540333,0.0525866081259705,0.028452452604257994,0.03640140286689336
Islington,0.021361471167402578,0.01447141587563528,0.024127416450241006,0.0181037595831272,0.02561477458786939,0.007314500338119449,0.00794762997740632,0.026431027680887807,0.022921613828817317,0.014401853381676058,0.021870868256852,0.007159123583998542,0.018090445575003403,0.007729147456239363,0.020908386589509127,0.022310440571337638,0.024644851250833,0.025103647322357644,0.003159363591405775,0.015484577899764469,0.02683284438181472,0.01922135165616648,0.02087564951140642,0.02517221656126172,0.01720942181314932,0.018177012499288502,0.025352403906990038,0.01648002954176962,0.02695358684956031,0.012148696139793599,0.012970204857357904,0.021396973138858483,0.01097446995332242
KensingtonandChelsea,0.031640786889302594,0.019825702949160886,0.030996636085293346,0.014402135642552515,0.02952349511297152,0.012517717982862595,0.01687059295453534,0.024735958858547447,0.016004746344616076,0.025987078248384782,0.029436411321609866,0.022546878887935204,0.005950242529361698,0.02178579871281657,0.020573291028332524,0.03179871000186688,0.021359862102186596,0.01823123592794933,0.017435673134339774,0.003906898738246531,0.0197780803982229,0.016036846574552416,0.025822345330056076,0.01714667305169884,0.029377560350376093,0.030695148033187722,0.016899420434137506,0.019414476117320015,0.022044275391902686,0.023989582353740217,0.02771836758264143,0.011070406826945708,0.007386276325753035
KingstonuponThames,0.04055467323121574,0.03448291872154084,0.03660963700480699,0.02719558787948823,0.027979425603718588,0.03594016427847404,0.03833205071495498,0.01941675725323508,0.019927384900573133,0.040101705908865054,0.03827222431701835,0.042519776652807297,0.021829359422891288,0.041298733168534614,0.026553672592245274,0.038500314838436765,0.01996500408234582,0.012815019888473727,0.04002955519166551,0.02592539076371106,0.0030712335805946765,0.025621044004477195,0.03336756823276085,0.010763965235383463,0.04252716077688247,0.042492706427184765,0.007814459088494067,0.03320724943726359,0.011568426629103054,0.04131956417249197,0.04374917148755161,0.017176049451755947,0.03183120713854344
Lambeth,0.032436978271400414,0.034253674315249436,0.0281730583591208,0.03148619271339273,0.023769324687747086,0.02549205600358968,0.017992426590018856,0.018477798715491024,0.031022299254520366,0.03578370805757078,0.024787445629925235,0.027086750594272745,0.02185790238820922,0.03185669399570104,0.03518440614251648,0.03394649436645855,0.03378026874642046,0.029426280828165265,0.02547155335301579,0.01932286480310562,0.023584971185662707,0.005544631169016365,0.017185848898721767,0.015913527489990482,0.02851368236508467,0.034010332712869996,0.02622468665561477,0.011132758484038175,0.018790736496703073,0.022776519544841854,0.0335671901376708,0.012819690552656757,0.018800131390321974
Lewisham,0.021093508013490952,0.035651277554618,0.015522519358325637,0.03698771120797057,0.013025948676589282,0.030731152528809237,0.020118633641338816,0.016411896363456465,0.03677309792454081,0.03220379327165233,0.01086619330448071,0.023640151481751588,0.03225741376698038,0.030828234905496438,0.0376136397007047,0.023370444052995043,0.03648456846144965,0.03501010588088183,0.027108383585708933,0.029771629369773032,0.02879825255458464,0.01593136973900161,0.004474385163224977,0.02386445016215543,0.01716338269647423,0.023942386527266275,0.03308359456176494,0.01078983091395074,0.021772562000073117,0.015609489775660115,0.02631519138316986,0.024621616028536176,0.027986705529413586
Merton,0.04133763791284627,0.03944023573455172,0.03567294382895083,0.032818351214615106,0.026198210934357993,0.035992868348242196,0.03434017400403473,0.015483658570196642,0.027911968236552554,0.04374565046029909,0.0355379811136677,0.041425213681187636,0.02253445650974903,0.04284332980044117,0.0343559444480755,0.040658529672985805,0.029324875386843634,0.02264341801025125,0.039164903839879986,0.02458371132320196,0.011838509863523963,0.017139003073568783,0.027335472677526704,0.004572971390878074,0.0409331024011241,0.04384113938383994,0.016812160225072256,0.02655956654134508,0.00919436902998548,0.03809833547537695,0.04491578776179556,0.011412154309783299,0.029462070966128715
Newham,0.01119062838584287,0.036127011516028505,0.016390221741316706,0.042523716321379176,0.02490428176292446,0.033496166252481016,0.02373357519514038,0.03373810844226615,0.04502888466926456,0.025210849790786905,0.012309650777493245,0.017711188070199134,0.0427222735137163,0.025653063205371664,0.04189873347968072,0.016107992289038024,0.04355424405579361,0.04522777519949229,0.025903204047369306,0.039954239086799195,0.04389465201630174,0.033259925386603724,0.020907522055126214,0.04174610223851645,0.00394113254385456,0.01075779282983359,0.04586206579962645,0.0249127518945375,0.03918954306432104,0.013124370883532037,0.014434134951644943,0.04130373768537431,0.03545530750638673
Redbridge,0.010087283626226603,0.03954718882103125,0.02165186046080396,0.05022777418667552,0.03411732410033812,0.04254778381615127,0.03680235269868691,0.04523722364582293,0.054267875365953636,0.02340454437258966,0.02282562228480871,0.025704540904008574,0.05474100800018543,0.02848903107431754,0.04663478329591874,0.013896509546417902,0.04975023098685998,0.05425472829003016,0.034767736602403926,0.052844971559031284,0.054449965732207034,0.04835927288244061,0.03485797074543428,0.054666011983526906,0.013949576117852774,0.005274745769485557,0.056050912699473994,0.04013283931136019,0.05097663791465772,0.025944741370002338,0.013072434118502993,0.055100120427810984,0.04809164534014962
RichmonduponThames,0.04531628539944425,0.031786125664238774,0.042456811218284686,0.02235852361159762,0.03630367858468106,0.03427480481387608,0.04034870692825235,0.028165331450055887,0.013867116354648405,0.040473245056519884,0.0438064467652183,0.04443953622961499,0.01838703488379579,0.04109668122092996,0.022308338278271472,0.04295657973846072,0.01618149742013795,0.007449395849040541,0.04024599927191992,0.023792176115220626,0.01044732666616268,0.030609574217530577,0.040432006812828436,0.017852220314037808,0.04737084416403553,0.04611292533730882,0.0052303434004576975,0.03824701793705133,0.020622588495945022,0.0455635969266028,0.045769172164953104,0.01984926250471943,0.03067286042187821
Southwark,0.026131411258147545,0.032931518602002115,0.02349034237976241,0.03330549727537655,0.022388132561316536,0.023722625500591166,0.01149776182207598,0.022324759194583224,0.03437680290017483,0.0314602608645305,0.01852944286525026,0.01934545155803442,0.026527574435975986,0.026936606764053423,0.036226662153153594,0.02892045807277378,0.03646752059002388,0.03429688387155023,0.020349680936226393,0.02271188050272028,0.030085469885504486,0.011403072302186984,0.01231377912654594,0.023925305990712964,0.020210435594498512,0.027208372137522453,0.032044615274688035,0.005522602446949082,0.025023963823651598,0.013039799344499822,0.0264873716352888,0.021037427404988672,0.019808945432030725
Sutton,0.040728229935760224,0.04293735293432425,0.03383971120944951,0.03749878123205703,0.021715615281601798,0.04195087958412589,0.03944727352400609,0.010399196599320289,0.03137125686781313,0.04566571088744422,0.03466571769695445,0.045156448630812376,0.029743808644526765,0.0466642152987277,0.03674437223955092,0.039132334384356565,0.030433930856311048,0.024754142763112646,0.04432142530901781,0.03223052304255774,0.01160703593022326,0.02239461024289263,0.027699744075991857,0.009357036437065112,0.04181318615548515,0.04400993003740946,0.019394599367463274,0.030453739474371293,0.003474191540081428,0.04100086987868719,0.04677192094706743,0.019202838452436807,0.03659723633851883
TowerHamlets,0.016378644183422005,0.02416708625716679,0.018245746840330763,0.027705303716971393,0.020922842108658135,0.018161510451841015,0.008426206590923122,0.0242355085500543,0.030064416305292812,0.020198893405199054,0.01400434131417887,0.008242180686872408,0.02540796052572279,0.016504464124967318,0.02942416645851076,0.019225029468866523,0.03114864369435514,0.030957296375300442,0.012677615767208767,0.022484121017645284,0.030224237265607055,0.018295426640151144,0.013669758463893608,0.026914305212989965,0.009933952283217912,0.015478935531961531,0.030863688456304626,0.011632071788114482,0.02716614915187641,0.0036350523668711183,0.013720564096818186,0.024680803111850422,0.01822645034587994
WalthamForest,0.018070542122562105,0.027359760252634795,0.02611206068135634,0.0370822334328811,0.03412412468556551,0.02788836408907367,0.02534213092670919,0.04085712947748356,0.042613944919410014,0.014396252669325997,0.024551599416017762,0.013442295702547269,0.04137764231672734,0.015503304063034727,0.03596731883582334,0.020416836161803474,0.040373311810936396,0.04428236021180005,0.02081744314293004,0.03908091493654655,0.04573650019308992,0.038766777067938324,0.0310787151686539,0.045457583306376864,0.015031863672650832,0.011263559263533831,0.045615613589759664,0.032134185461821646,0.04441521744589259,0.01869085434451724,0.004901698517949857,0.04399538087993921,0.03409722954694788
Wandsworth,0.03683027232026699,0.031687380605326276,0.03309615134998348,0.025582300239420187,0.027823214141069585,0.025249149297258643,0.02436939503737065,0.019793100054400336,0.02355097508657585,0.036440050996756505,0.0312600094663319,0.03195738914418058,0.014096898431252874,0.03348201356066999,0.029612710026758124,0.03706146776346127,0.027341069448957932,0.02135173870785823,0.02858108080743992,0.014353845772863472,0.01642353617595411,0.01158454487018433,0.02477815842945971,0.010005803037937452,0.03490179396022036,0.03803292432002344,0.017420746294335147,0.019839352054106998,0.016037119712875268,0.030124991727880353,0.037215253702339704,0.0055547393635703496,0.018282436513280712
Westminster,0.0325486004261377,0.020216454806973306,0.032640212197135865,0.016909366999014148,0.031801691164147744,0.009568295727549598,0.014412664076875413,0.02864597816109899,0.02087908008064291,0.025632416923082164,0.030449464413678535,0.02026602858918048,0.011157294916648103,0.019797470564015537,0.02320487933734783,0.033062135536650196,0.02573267061748629,0.0234925830065964,0.014167075030497916,0.007559115797920425,0.025410515291975196,0.017688443484015617,0.026611166714202657,0.022394039316487615,0.02921145121741236,0.030815269453463436,0.0226597917650473,0.01926840399446159,0.02689268030835807,0.02247774364439986,0.02653194217821018,0.01614269774093856,0.005503534746917128
